Accessions	Gene	Description	GeneSymbol	Unique_peptides	MCF7.SiCTRL.EtOH.Rep.1	MCF7.SiCTRL.EtOH.Rep.2	MCF7.SiCTRL.E2.Rep.1	MCF7.SiCTRL.E2.Rep.2	MCF7.SiCTRL.E2.Rep.3	MCF7.SiCTRL.E2.Rep.4	MCF7.SiCTRL.EtOH.Rep.3	MCF7.SiCTRL.EtOH.Rep.4	log2FC	AvgIntensity	t	P.Value	adj.P.Val	B
Q15596	NCOA2_HUMAN	Nuclear receptor coactivator 2 OS=Homo sapiens OX=9606 GN=NCOA2 PE=1 SV=2	NCOA2	4	8.6	8.38	9.81	10.17	9.76	9.09	7.78	7.34	1.68	8.882541069	9.13	2.10E-07	2.50E-05	7.5
P40424	PBX1_HUMAN	Pre-B-cell leukemia transcription factor 1 OS=Homo sapiens OX=9606 GN=PBX1 PE=1 SV=1	PBX1	1	5.64	5.53	7.4	6.84	7.17	6.81	5.68	5.15	1.56	6.227484302	9.12	2.10E-07	2.50E-05	7.47
O43474	KLF4_HUMAN	Krueppel-like factor 4 OS=Homo sapiens OX=9606 GN=KLF4 PE=1 SV=3	KLF4	2	7.03	6.87	8.4	8.2	8.71	8.06	7.03	6.71	1.43	7.614076146	9.05	2.30E-07	2.50E-05	7.39
O75177	CREST_HUMAN	Calcium-responsive transactivator OS=Homo sapiens OX=9606 GN=SS18L1 PE=1 SV=2	SS18L1	1	5.77	5.56	6.9	6.91	7.77	7.48	6.23	5.92	1.39	6.582480396	9.02	2.40E-07	2.50E-05	7.34
O43791	SPOP_HUMAN	Speckle-type POZ protein OS=Homo sapiens OX=9606 GN=SPOP PE=1 SV=1	SPOP	1	4.16	4.03	5.92	5.92	6.33	6	4.4	4.8	1.7	5.261862562	8.9	2.90E-07	2.80E-05	7.18
Q86Z02	HIPK1_HUMAN	Homeodomain-interacting protein kinase 1 OS=Homo sapiens OX=9606 GN=HIPK1 PE=1 SV=1	HIPK1	3	7.44	7.14	8.89	8.95	8.83	8	7.01	6.77	1.58	7.812013596	8.85	3.10E-07	2.80E-05	7.12
P51532	SMCA4_HUMAN	Transcription activator BRG1 OS=Homo sapiens OX=9606 GN=SMARCA4 PE=1 SV=2	SMARCA4	6	8.46	8.38	9.92	9.53	10	9.82	8.77	8.78	1.22	9.227515486	8.72	3.60E-07	3.10E-05	6.96
P28702	RXRB_HUMAN	Retinoic acid receptor RXR-beta OS=Homo sapiens OX=9606 GN=RXRB PE=1 SV=2	RXRB	3	8.2	8.38	9.69	9.92	9.54	8.87	7.6	7.29	1.64	8.736296604	8.65	4.10E-07	3.30E-05	6.83
Q13485	SMAD4_HUMAN	Mothers against decapentaplegic homolog 4 OS=Homo sapiens OX=9606 GN=SMAD4 PE=1 SV=1	SMAD4	1	5.44	5.16	7.67	7.28	7.05	6.86	4.4	4.48	2.35	6.01237489	8.63	4.30E-07	3.30E-05	6.8
O95365	ZBT7A_HUMAN	Zinc finger and BTB domain-containing protein 7A OS=Homo sapiens OX=9606 GN=ZBTB7A PE=1 SV=1	ZBTB7A	1	4.71	4.84	5.96	5.99	5.27	5.02	4.27	3.89	1.13	5.086801989	8.56	4.50E-07	3.30E-05	6.75
O14686	KMT2D_HUMAN	Histone-lysine N-methyltransferase 2D OS=Homo sapiens OX=9606 GN=KMT2D PE=1 SV=2	KMT2D	14	9.54	9.36	10.59	10.67	11.01	10.49	9.55	9.3	1.25	10.11051667	8.54	4.80E-07	3.40E-05	6.67
Q92793	CBP_HUMAN	CREB-binding protein OS=Homo sapiens OX=9606 GN=CREBBP PE=1 SV=3	CREBBP	14	9.63	9.66	11.22	11.81	12.14	11.47	9.59	9.4	2.09	10.66844699	8.51	5.00E-07	3.40E-05	6.63
O14497	ARI1A_HUMAN	AT-rich interactive domain-containing protein 1A OS=Homo sapiens OX=9606 GN=ARID1A PE=1 SV=3	ARID1A	11	9.16	8.92	10.4	10.13	9.86	9.61	8.43	8.45	1.26	9.363373256	8.5	5.10E-07	3.40E-05	6.62
Q9Y2X0	MED16_HUMAN	Mediator of RNA polymerase II transcription subunit 16 OS=Homo sapiens OX=9606 GN=MED16 PE=1 SV=2	MED16	2	6.04	6.19	7.65	7.42	7.52	7.23	6.36	5.96	1.32	6.805311762	8.42	5.70E-07	3.60E-05	6.51
P61956	SUMO2_HUMAN	Small ubiquitin-related modifier 2 OS=Homo sapiens OX=9606 GN=SUMO2 PE=1 SV=3	SUMO2	2	8.98	8.87	10.59	11.1	11.26	10.01	8.84	8.29	1.99	9.744516988	8.4	5.90E-07	3.60E-05	6.48
Q8TE85	GRHL3_HUMAN	Grainyhead-like protein 3 homolog OS=Homo sapiens OX=9606 GN=GRHL3 PE=1 SV=3	GRHL3	4	8.33	8.16	9.59	9.85	9.62	8.79	7.98	7.52	1.46	8.752394077	8.34	6.40E-07	3.80E-05	6.39
P07900	HS90A_HUMAN	Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5	HSP90AA1	11	12.48	13.32	10.67	10.92	11.22	11.11	12.9	12.33	-1.78	11.84553175	-8.29	6.90E-07	3.90E-05	6.32
Q13887	KLF5_HUMAN	Krueppel-like factor 5 OS=Homo sapiens OX=9606 GN=KLF5 PE=1 SV=2	KLF5	2	6.64	6.72	8.39	9.03	9.22	8.53	6.77	6.32	2.18	7.648500107	8.26	7.30E-07	4.00E-05	6.27
Q86U70	LDB1_HUMAN	LIM domain-binding protein 1 OS=Homo sapiens OX=9606 GN=LDB1 PE=1 SV=2	LDB1	2	6.5	6.52	7.83	7.95	8.28	7.99	7.35	7.14	1.14	7.479689177	8.11	9.00E-07	4.70E-05	6.06
P48552	NRIP1_HUMAN	Nuclear receptor-interacting protein 1 OS=Homo sapiens OX=9606 GN=NRIP1 PE=1 SV=2	NRIP1	29	11.27	11.21	12.68	13.79	13.38	12.44	10.86	10.53	2.1	12.0461185	8.1	9.10E-07	4.70E-05	6.05
Q6IQ16	SPOPL_HUMAN	Speckle-type POZ protein-like OS=Homo sapiens OX=9606 GN=SPOPL PE=1 SV=1	SPOPL	2	5.49	5.31	6.86	7.24	7.04	6.56	5.34	5.13	1.61	6.167992135	8.05	9.80E-07	4.80E-05	5.97
O15164	TIF1A_HUMAN	Transcription intermediary factor 1-alpha OS=Homo sapiens OX=9606 GN=TRIM24 PE=1 SV=3	TRIM24	18	10.46	10.53	11.89	12.93	12.15	11.21	9.67	9.4	2.03	11.07828657	8.03	1.00E-06	4.80E-05	5.94
P31689	DNJA1_HUMAN	DnaJ homolog subfamily A member 1 OS=Homo sapiens OX=9606 GN=DNAJA1 PE=1 SV=2	DNAJA1	4	8.42	8.57	7.23	7.63	7.12	6.93	8.16	7.77	-1	7.692907987	-8.01	1.00E-06	4.80E-05	5.94
P10276	RARA_HUMAN	Retinoic acid receptor alpha OS=Homo sapiens OX=9606 GN=RARA PE=1 SV=2	RARA	1	2.45	2.11	4.3	4.06	4.24	3.25	1.64	1.47	2.04	3.111899859	8	1.10E-06	4.90E-05	5.9
P08238	HS90B_HUMAN	Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4	HSP90AB1	5	11.65	12.26	10.15	10.38	10.27	10.14	11.82	11.25	-1.51	10.9571304	-7.95	1.20E-06	5.10E-05	5.81
Q15788	NCOA1_HUMAN	Nuclear receptor coactivator 1 OS=Homo sapiens OX=9606 GN=NCOA1 PE=1 SV=3	NCOA1	2	5.87	5.21	7.06	7.25	7.44	7.04	5.93	5.6	1.54	6.351940406	7.91	1.20E-06	5.30E-05	5.76
Q6EEV6	SUMO4_HUMAN	Small ubiquitin-related modifier 4 OS=Homo sapiens OX=9606 GN=SUMO4 PE=1 SV=2	SUMO4	1	8.06	7.85	9.41	9.88	9.87	8.58	7.41	6.75	1.92	8.491716361	7.85	1.30E-06	5.40E-05	5.67
Q9BRQ0	PYGO2_HUMAN	Pygopus homolog 2 OS=Homo sapiens OX=9606 GN=PYGO2 PE=1 SV=2	PYGO2	1	5.89	6.15	7.75	7.14	8.19	7.67	6.86	6.48	1.34	7.021485543	7.85	1.30E-06	5.40E-05	5.66
P55854	SUMO3_HUMAN	Small ubiquitin-related modifier 3 OS=Homo sapiens OX=9606 GN=SUMO3 PE=1 SV=2	SUMO3	2	9.89	9.83	11.47	12.21	11.37	10.13	8.89	8.34	2.06	10.2864252	7.84	1.30E-06	5.40E-05	5.66
Q9Y6X2	PIAS3_HUMAN	E3 SUMO-protein ligase PIAS3 OS=Homo sapiens OX=9606 GN=PIAS3 PE=1 SV=2	PIAS3	5	7.58	7.51	8.87	9.14	10.12	9.23	8.35	7.84	1.52	8.567189176	7.71	1.60E-06	6.40E-05	5.46
Q6ZW49	PAXI1_HUMAN	PAX-interacting protein 1 OS=Homo sapiens OX=9606 GN=PAXIP1 PE=1 SV=2	PAXIP1	5	7.6	7.38	8.43	8.47	8.85	8.56	7.51	7.57	1.06	8.047367347	7.61	1.90E-06	7.20E-05	5.31
O00712	NFIB_HUMAN	Nuclear factor 1 B-type OS=Homo sapiens OX=9606 GN=NFIB PE=1 SV=2	NFIB	1	5.29	5.47	6.59	6.55	7.85	7.24	6.54	6.14	1.2	6.415740063	7.61	1.90E-06	7.20E-05	5.31
Q8NEZ4	KMT2C_HUMAN	Histone-lysine N-methyltransferase 2C OS=Homo sapiens OX=9606 GN=KMT2C PE=1 SV=3	KMT2C	5	7.11	6.9	7.89	7.79	8.93	8.42	7.74	7.53	0.94	7.804775197	7.51	2.20E-06	7.90E-05	5.18
P31276	HXC13_HUMAN	Homeobox protein Hox-C13 OS=Homo sapiens OX=9606 GN=HOXC13 PE=1 SV=3	HOXC13	2	6.06	5.76	7.68	7.16	8.5	8.43	7.12	6.97	1.47	7.234263504	7.51	2.20E-06	8.00E-05	5.15
Q92754	AP2C_HUMAN	Transcription factor AP-2 gamma OS=Homo sapiens OX=9606 GN=TFAP2C PE=1 SV=1	TFAP2C	1	6.99	6.92	8.45	8.85	8.98	8.28	7.05	6.7	1.72	7.762667474	7.49	2.30E-06	8.00E-05	5.12
Q5JPI3	CC038_HUMAN	Uncharacterized protein C3orf38 OS=Homo sapiens OX=9606 GN=C3orf38 PE=1 SV=1	C3orf38	1	6.09	5.96	6.99	6.98	5.97	5.93	5.01	4.79	1	5.943290387	7.46	2.30E-06	8.00E-05	5.11
Q96G25	MED8_HUMAN	Mediator of RNA polymerase II transcription subunit 8 OS=Homo sapiens OX=9606 GN=MED8 PE=1 SV=2	MED8	1	6.35	6.21	7.36	7.12	7.09	6.89	5.71	5.59	1.15	6.572988035	7.47	2.40E-06	8.10E-05	5.09
Q6ISB3	GRHL2_HUMAN	Grainyhead-like protein 2 homolog OS=Homo sapiens OX=9606 GN=GRHL2 PE=1 SV=1	GRHL2	19	11.06	11.03	11.94	12.24	11.86	11.43	10.46	10.23	1.17	11.28802907	7.41	2.70E-06	8.80E-05	4.98
Q01196	RUNX1_HUMAN	Runt-related transcription factor 1 OS=Homo sapiens OX=9606 GN=RUNX1 PE=1 SV=3	RUNX1	3	7.93	7.63	9.02	8.66	9	8.48	7.73	7.46	1.1	8.19506306	7.39	2.70E-06	8.80E-05	4.96
Q92925	SMRD2_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 OS=Homo sapiens OX=9606 GN=SMARCD2 PE=1 SV=3	SMARCD2	7	9.12	8.98	9.93	9.94	10.03	9.75	8.94	8.71	0.97	9.4062675	7.27	3.20E-06	1.00E-04	4.79
O75448	MED24_HUMAN	Mediator of RNA polymerase II transcription subunit 24 OS=Homo sapiens OX=9606 GN=MED24 PE=1 SV=1	MED24	1	5.16	4.79	6.2	6.03	5.7	5.34	4.03	4.1	1.3	5.115055578	7.26	3.30E-06	1.00E-04	4.76
Q9UPN9	TRI33_HUMAN	E3 ubiquitin-protein ligase TRIM33 OS=Homo sapiens OX=9606 GN=TRIM33 PE=1 SV=3	TRIM33	14	11.01	11.16	12.31	13.26	12.92	11.89	10.68	10.22	1.82	11.72618727	7.14	4.00E-06	0.00012	4.57
O15550	KDM6A_HUMAN	Lysine-specific demethylase 6A OS=Homo sapiens OX=9606 GN=KDM6A PE=1 SV=2	KDM6A	1	5	4.99	6.87	6.81	5.23	4.79	4.08	3.55	1.52	5.279382867	7.1	4.30E-06	0.00013	4.5
P19793	RXRA_HUMAN	Retinoic acid receptor RXR-alpha OS=Homo sapiens OX=9606 GN=RXRA PE=1 SV=1	RXRA	4	7.64	7.88	9.04	9.68	10.1	9.3	8.08	7.75	1.69	8.746187879	7.08	4.40E-06	0.00013	4.47
P46937	YAP1_HUMAN	Transcriptional coactivator YAP1 OS=Homo sapiens OX=9606 GN=YAP1 PE=1 SV=2	YAP1	6	7.93	7.8	9.14	8.66	8.9	8.72	7.43	7.49	1.19	8.254945318	7.01	5.00E-06	0.00015	4.35
Q9NWF9	RN216_HUMAN	E3 ubiquitin-protein ligase RNF216 OS=Homo sapiens OX=9606 GN=RNF216 PE=1 SV=3	RNF216	1	5.8	5.9	7.08	7.06	7.11	6.11	5.5	4.93	1.31	6.220076865	6.91	5.90E-06	0.00017	4.18
Q02790	FKBP4_HUMAN	Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens OX=9606 GN=FKBP4 PE=1 SV=3	FKBP4	12	12.14	13.12	10.39	10.76	10.17	10.09	11.7	11.06	-1.65	11.12334876	-6.89	6.10E-06	0.00017	4.16
Q4ZG55	GREB1_HUMAN	Protein GREB1 OS=Homo sapiens OX=9606 GN=GREB1 PE=2 SV=1	GREB1	2	7.15	7.6	5.16	4.93	4.79	4.86	5.8	6.19	-1.75	5.707852739	-6.79	7.20E-06	2.00E-04	3.98
O75081	MTG16_HUMAN	Protein CBFA2T3 OS=Homo sapiens OX=9606 GN=CBFA2T3 PE=1 SV=2	CBFA2T3	2	7.36	6.61	8.4	8.08	8.35	7.72	7.23	6.72	1.16	7.658079277	6.62	9.50E-06	0.00026	3.71
O60479	DLX3_HUMAN	Homeobox protein DLX-3 OS=Homo sapiens OX=9606 GN=DLX3 PE=1 SV=1	DLX3	1	2.85	2.5	4.76	3.97	5.06	5	3.11	2.54	1.95	3.874897669	6.5	1.20E-05	0.00031	3.5
P84022	SMAD3_HUMAN	Mothers against decapentaplegic homolog 3 OS=Homo sapiens OX=9606 GN=SMAD3 PE=1 SV=1	SMAD3	2	7.63	7.41	8.77	8.64	7.49	7.36	6.75	6.23	1.06	7.557093455	6.43	1.30E-05	0.00034	3.39
P40763	STAT3_HUMAN	Signal transducer and activator of transcription 3 OS=Homo sapiens OX=9606 GN=STAT3 PE=1 SV=2	STAT3	6	8.77	8.72	9.55	9.69	9.42	8.95	8.57	8.35	0.8	9.03847142	6.32	1.60E-05	4.00E-04	3.21
Q9UKL0	RCOR1_HUMAN	REST corepressor 1 OS=Homo sapiens OX=9606 GN=RCOR1 PE=1 SV=2	RCOR1	5	8.26	8.72	9.41	9.83	10.27	9.75	8.99	9.07	1.05	9.282075468	6.32	1.60E-05	4.00E-04	3.2
Q969G3	SMCE1_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Homo sapiens OX=9606 GN=SMARCE1 PE=1 SV=2	SMARCE1	4	8.43	8.02	9.24	9.07	9.07	8.86	8.2	8.13	0.86	8.63082966	6.27	1.70E-05	0.00043	3.12
Q9UBL3	ASH2L_HUMAN	Set1/Ash2 histone methyltransferase complex subunit ASH2 OS=Homo sapiens OX=9606 GN=ASH2L PE=1 SV=1	ASH2L	1	4.67	5.33	5.97	6.24	9.05	8.41	7.24	7.27	1.29	6.833225099	6.24	1.80E-05	0.00045	3.05
P10588	NR2F6_HUMAN	Nuclear receptor subfamily 2 group F member 6 OS=Homo sapiens OX=9606 GN=NR2F6 PE=1 SV=2	NR2F6	4	7.76	7.9	8.87	8.96	9.65	9.07	8.31	7.78	1.2	8.572814891	6.16	2.10E-05	5.00E-04	2.92
Q9UER7	DAXX_HUMAN	Death domain-associated protein 6 OS=Homo sapiens OX=9606 GN=DAXX PE=1 SV=2	DAXX	1	4.7	4.68	6.35	6.4	6.43	5.58	5.04	5.01	1.33	5.52640118	6.1	2.30E-05	0.00056	2.81
Q86UU0	BCL9L_HUMAN	B-cell CLL/lymphoma 9-like protein OS=Homo sapiens OX=9606 GN=BCL9L PE=1 SV=1	BCL9L	10	9.79	9.42	10.73	10.08	10.97	10.4	9.45	9.07	1.11	10.00605074	6.06	2.50E-05	0.00059	2.73
Q13950	RUNX2_HUMAN	Runt-related transcription factor 2 OS=Homo sapiens OX=9606 GN=RUNX2 PE=1 SV=2	RUNX2	1	5.04	4.74	6.23	5.81	7.24	7	5.95	5.7	1.21	5.906379573	5.98	2.90E-05	0.00066	2.61
Q5TC79	ZBT37_HUMAN	Zinc finger and BTB domain-containing protein 37 OS=Homo sapiens OX=9606 GN=ZBTB37 PE=2 SV=1	ZBTB37	2	5.34	5.64	6.6	7.04	7	6.11	5.62	5.36	1.2	6.074301628	5.9	3.30E-05	0.00075	2.46
O60884	DNJA2_HUMAN	DnaJ homolog subfamily A member 2 OS=Homo sapiens OX=9606 GN=DNAJA2 PE=1 SV=1	DNAJA2	1	6.33	6.74	5.17	5.61	5.88	5.66	6.98	6.39	-1.03	6.110735387	-5.82	3.80E-05	0.00086	2.32
Q9NZI5	GRHL1_HUMAN	Grainyhead-like protein 1 homolog OS=Homo sapiens OX=9606 GN=GRHL1 PE=1 SV=2	GRHL1	1	6.1	5.85	7.24	7.01	5.88	5.55	4.91	4.84	0.99	5.964620122	5.81	3.90E-05	0.00086	2.3
P17275	JUNB_HUMAN	Transcription factor jun-B OS=Homo sapiens OX=9606 GN=JUNB PE=1 SV=1	JUNB	3	7.6	7.14	8.64	8.18	9.03	8.77	7.96	7.65	1.07	8.125034276	5.75	4.30E-05	0.00095	2.19
Q7Z5J4	RAI1_HUMAN	Retinoic acid-induced protein 1 OS=Homo sapiens OX=9606 GN=RAI1 PE=1 SV=2	RAI1	4	8.33	8.04	8.93	8.73	8.48	7.9	7.13	6.74	0.95	8.004779557	5.75	4.40E-05	0.00095	2.18
Q9UIU6	SIX4_HUMAN	Homeobox protein SIX4 OS=Homo sapiens OX=9606 GN=SIX4 PE=1 SV=2	SIX4	1	2.25	2.75	3.82	3.78	5.52	4.76	4.35	3.52	1.25	4.05250371	5.64	5.30E-05	0.0011	1.99
Q6ZRI6	CO039_HUMAN	Uncharacterized protein C15orf39 OS=Homo sapiens OX=9606 GN=C15orf39 PE=1 SV=3	C15orf39	2	6.37	6.18	7.1	7.27	8	7.06	6.6	6.13	1.04	6.903940273	5.64	5.30E-05	0.0011	1.98
Q92785	REQU_HUMAN	Zinc finger protein ubi-d4 OS=Homo sapiens OX=9606 GN=DPF2 PE=1 SV=2	DPF2	2	6.39	6.55	7.51	8.39	7.16	6.59	6.08	5.86	1.19	6.875099092	5.62	5.40E-05	0.0011	1.96
P23771	GATA3_HUMAN	Trans-acting T-cell-specific transcription factor GATA-3 OS=Homo sapiens OX=9606 GN=GATA3 PE=1 SV=1	GATA3	4	10	9.87	10.62	11.19	10.56	9.85	9.15	8.51	1.17	9.926312199	5.62	5.50E-05	0.0011	1.95
P24468	COT2_HUMAN	COUP transcription factor 2 OS=Homo sapiens OX=9606 GN=NR2F2 PE=1 SV=1	NR2F2	3	7.92	7.78	8.5	9	8.31	7.88	7.07	6.75	1.04	7.876915329	5.52	6.60E-05	0.0013	1.77
Q9ULJ6	ZMIZ1_HUMAN	Zinc finger MIZ domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ZMIZ1 PE=1 SV=3	ZMIZ1	1	5.28	5.2	7.04	6.72	7.01	6.67	6.04	5.82	1.27	5.999400055	5.48	7.10E-05	0.0014	1.7
Q9UN79	SOX13_HUMAN	Transcription factor SOX-13 OS=Homo sapiens OX=9606 GN=SOX13 PE=1 SV=3	SOX13	1	5.75	5.63	6.66	6.77	6.78	5.76	5.14	4.26	1.3	5.800738104	5.4	8.20E-05	0.0016	1.55
Q86X55	CARM1_HUMAN	Histone-arginine methyltransferase CARM1 OS=Homo sapiens OX=9606 GN=CARM1 PE=1 SV=3	CARM1	1	7.13	7.31	7.8	7.91	6.73	6.57	6	5.9	0.67	6.967373524	5.36	8.70E-05	0.0017	1.49
O60341	KDM1A_HUMAN	Lysine-specific histone demethylase 1A OS=Homo sapiens OX=9606 GN=KDM1A PE=1 SV=2	KDM1A	7	9.89	9.88	10.38	10.76	10.67	10.24	9.82	9.74	0.68	10.18337428	5.32	9.40E-05	0.0018	1.41
P78413	IRX4_HUMAN	Iroquois-class homeodomain protein IRX-4 OS=Homo sapiens OX=9606 GN=IRX4 PE=1 SV=2	IRX4	1	5.85	5.44	7.09	6.21	6.79	6.33	5.75	5.24	1.03	5.98655444	5.29	1.00E-04	0.0019	1.35
P39880	CUX1_HUMAN	Homeobox protein cut-like 1 OS=Homo sapiens OX=9606 GN=CUX1 PE=1 SV=3	CUX1	2	7	6.94	7.75	7.55	7.46	7.24	6.82	6.64	0.65	7.078040413	5.28	1.00E-04	0.0019	1.35
Q96RN5	MED15_HUMAN	Mediator of RNA polymerase II transcription subunit 15 OS=Homo sapiens OX=9606 GN=MED15 PE=1 SV=2	MED15	1	4.25	3.92	4.9	4.65	5.9	5.52	3.75	4.03	1.26	4.626588826	5.29	1.00E-04	0.0019	1.34
P35869	AHR_HUMAN	Aryl hydrocarbon receptor OS=Homo sapiens OX=9606 GN=AHR PE=1 SV=2	AHR	1	7.54	7.4	8.07	8.03	7.67	7.4	7.02	7	0.55	7.493430422	5.2	0.00012	0.0021	1.19
Q14190	SIM2_HUMAN	Single-minded homolog 2 OS=Homo sapiens OX=9606 GN=SIM2 PE=1 SV=2	SIM2	1	5.6	5.18	6.04	5.69	5.59	5.31	4.51	4.39	0.74	5.21287792	5.16	0.00012	0.0023	1.12
Q92908	GATA6_HUMAN	Transcription factor GATA-6 OS=Homo sapiens OX=9606 GN=GATA6 PE=1 SV=2	GATA6	1	6.98	6.26	7.55	7.3	6.06	5.54	4.52	4.32	1.09	6.070355255	5.16	0.00013	0.0023	1.11
Q92973	TNPO1_HUMAN	Transportin-1 OS=Homo sapiens OX=9606 GN=TNPO1 PE=1 SV=2	TNPO1	5	7.93	8	8.41	8.5	8.76	8.74	8.22	8.34	0.48	8.384656441	5.15	0.00013	0.0023	1.1
Q9UBW7	ZMYM2_HUMAN	Zinc finger MYM-type protein 2 OS=Homo sapiens OX=9606 GN=ZMYM2 PE=1 SV=1	ZMYM2	8	9.08	8.91	10.27	11.65	10.62	8.89	8.22	7.69	1.88	9.459886191	5.16	0.00013	0.0023	1.1
Q8IX15	HOMEZ_HUMAN	Homeobox and leucine zipper protein Homez OS=Homo sapiens OX=9606 GN=HOMEZ PE=1 SV=2	HOMEZ	1	7.54	7.9	8.83	9.61	9.21	7.69	7.04	6.44	1.6	8.057550785	5.14	0.00013	0.0023	1.05
Q8N2W9	PIAS4_HUMAN	E3 SUMO-protein ligase PIAS4 OS=Homo sapiens OX=9606 GN=PIAS4 PE=1 SV=1	PIAS4	2	7	6.8	7.49	8.25	8.04	7.02	6.35	5.89	1.19	7.12249224	5.14	0.00013	0.0023	1.05
Q9C005	DPY30_HUMAN	Protein dpy-30 homolog OS=Homo sapiens OX=9606 GN=DPY30 PE=1 SV=1	DPY30	1	2.66	3.57	4.16	4.28	5.98	5.81	4.54	4.95	1.13	4.667215555	5.11	0.00014	0.0024	1
Q6PJG2	EMSA1_HUMAN	ELM2 and SANT domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ELMSAN1 PE=1 SV=2	ELMSAN1	5	8.4	8.37	9.01	9.3	9.03	8.43	8.17	7.85	0.75	8.581264821	5.08	0.00015	0.0025	0.94
